"","USFS.Unit.Number","Plot.ID","X2013.Plot.Tree..","Unique.Tree.ID","X2013.DBH","X2013.FIA.Species.Code","X2013.Height","X2013.Live.Crown.Ratio","X2019.Plot.Tree..","Unique.Tree.ID.1","Dead.","X2019.DBH","X2019.FIA.Species.Code","X2019.Height","X2019.Live.Crown.Ratio","X2021.Plot.Tree..","Unique.Tree.ID.2","Dead..","X2021.DBH","X2021.FIA.Species.Code","X2021.Height","X2021.Live.Crown.Ratio","X2022.Plot.Tree..","Unique.Tree.ID.3","Dead..1","X2022.DBH","X2022.FIA.Species.Code","X2022.Height","X2022.Live.Crown.Ratio","X","Species13","Species19","Species21","Species22"
"347","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,2,2732,"Y","49","202",23.11256805,NA,NA,"","","","DF"
"348","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,3,2733,"","23.9","202",14.73838425,NA,NA,"","","","DF"
"349","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,4,2734,"Y","20.7","202",15.01131729,NA,NA,"","","","DF"
"350","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,5,2735,"Y","21","202",12.6070207,NA,NA,"","","","DF"
"351","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,6,2736,"Y","66.8","117",24.4,NA,NA,"","","","SP"
"352","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,7,2737,"Y","10.2","202",3,NA,NA,"","","","DF"
"353","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,8,2738,"Y","17","202",10.2,NA,NA,"","","","DF"
"354","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,9,2739,"","57.5","117",25.7,18.5,NA,"","","","SP"
"355","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,10,2740,"Y","30.5","202",18.6,NA,NA,"","","","DF"
"356","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,11,2741,"Y","14","202",14.4,NA,NA,"","","","DF"
"357","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,12,2742,"Y","35.4","202",17.2,NA,NA,"","","","DF"
"358","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,13,2743,"Y","10.5","202",6.1,NA,NA,"","","","DF"
"359","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,14,2744,"Y","28.9","202",20,NA,NA,"","","","DF"
"360","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,15,2745,"Y","11.3","202",1.3,NA,NA,"","","","DF"
"361","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,16,2746,"Y","55.6","202",25.4,NA,NA,"","","","DF"
"362","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,17,2747,"Y","24","202",10.3,NA,NA,"","","","DF"
"363","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,18,2748,"","39","202",23.1,20.1,NA,"","","","DF"
"364","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,19,2749,"Y","15.5","202",13.5,NA,NA,"","","","DF"
"365","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,20,2750,"Y","24.6","202",15.9,NA,NA,"","","","DF"
"366","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,21,2751,"","36.8","202",22.2,11.8,NA,"","","","DF"
"367","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,22,2752,"Y","14","202",17.8,NA,NA,"","","","DF"
"368","","250",NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,23,2753,"","27.5","202",23.6,19.5,NA,"","","","DF"
"369","100","259",8,"288",2.9,"15",NA,20,1,716,"",40.5,"818",7.4,4.2,1,2076,"",35.7,"818",8.7,8.7,1,2754,"Y","13.5","202",11.55879793,NA,NA,"WF","BO","BO","DF"
"370","100","259",9,"289",1.5,"15",NA,10,2,717,"",38.5,"202",24.3,15.3,2,2077,"",38.7,"202",23.4,18.3,2,2755,"","39.9","202",23.31691274,9,NA,"WF","DF","DF","DF"
"371","100","259",10,"290",2.6,"15",NA,40,3,718,"",24,"15",15.9,12.1,3,2078,"",25.8,"202",17.1,16.7,3,2756,"Y","25.4","202",15.51408127,NA,NA,"WF","WF","DF","DF"
"372","100","259",11,"291",1.2,"15",NA,40,4,719,"",74.5,"117",25.8,0,4,2079,"y",74.5,"snag",40,NA,4,2757,"Y","10.7","202",9.745583642,NA,NA,"WF","SP","snag","DF"
"373","100","259",12,"292",2.3,"15",NA,40,5,720,"",19,"15",12,6.8,5,2080,"",13.4,"117",6.8,6.3,5,2758,"Y","10.1","202",6.95395423,NA,NA,"WF","WF","SP","DF"
"374","100","259",13,"293",1.1,"15",NA,30,6,721,"",13,"117",6.8,4.7,6,2081,"",11.9,"117",7.1,6.8,6,2759,"Y","12.2","202",10.78096315,NA,NA,"WF","SP","SP","DF"
"375","100","259",14,"294",1.3,"15",NA,40,7,722,"",12,"117",6.6,2.6,7,2082,"",12.3,"202",8.4,8.4,7,2760,"Y","20.3","202",12.1427707,NA,NA,"WF","SP","DF","DF"
"376","100","259",15,"295",1.1,"15",NA,50,8,723,"",12,"202",7,0,8,2083,"",18.9,"202",12.5,12.1,8,2761,"Y","18.7","202",12.49301522,NA,NA,"WF","DF","DF","DF"
"377","100","259",16,"296",6.7,"15",NA,50,9,724,"",18,"202",9.4,2.1,9,2084,"",20.2,"202",12.9,12.7,9,2762,"Y","12.9","202",8.359106736,NA,NA,"WF","DF","DF","DF"
"378","100","259",17,"297",1,"15",NA,20,10,725,"",12.5,"202",12,7,NA,NA,"",NA,"",NA,NA,10,2763,"Y","11.3","202",7.022527483,NA,NA,"WF","DF","","DF"
"379","100","259",18,"298",3.1,"15",NA,40,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"380","100","259",19,"299",2,"15",NA,30,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"381","100","259",20,"300",1,"15",NA,20,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"382","100","259",21,"301",3.3,"15",NA,40,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"383","100","259",22,"302",4.7,"202",NA,30,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","","",""
"384","100","259",23,"303",3.6,"202",NA,40,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","","",""
"385","100","259",24,"304",1.4,"81",9,50,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"IC","","",""
"386","100","259",25,"305",2.2,"15",NA,20,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"387","100","259",26,"306",0.5,"15",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"388","100","259",28,"307",0.5,"202",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","","",""
"389","100","259",29,"308",0.5,"117",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"SP","","",""
"390","100","259",30,"309",0.5,"818",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"BO","","",""
"391","100","259",1,"310",13.1,"818",28,50,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"BO","","",""
"392","100","259",2,"311",14.7,"202",71,40,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","","",""
"393","100","259",3,"312",37.9,"117",119,70,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"SP","","",""
"394","100","259",4,"313",29.1,"202",105,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","","",""
"395","100","259",5,"314",2.8,"15",18,10,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"396","100","259",6,"315",3.9,"202",22,20,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","","",""
"397","100","259",7,"316",3.7,"15",NA,30,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"398","100","259",27,"317",0.5,"81",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"IC","","",""
"399","100","260",4,"318",15.2,"81",43,60,1,726,"",42.5,"818",10.5,8.4,1,2085,"",43.1,"818",8.2,7.7,1,2764,"","22.2","15",12.49407659,12.3,NA,"IC","BO","BO","WF"
"400","100","260",5,"319",19.9,"202",NA,70,2,727,"",63,"202",32.4,25.1,2,2086,"",64.2,"202",25.2,21.7,2,2765,"Y","29.4","15",16.00603441,NA,NA,"DF","DF","DF","WF"
"401","100","260",8,"320",24.8,"122",93,70,3,728,"",64,"202",29.7,25,3,2087,"",17.5,"818",6.3,5.6,3,2766,"","58","116",29.46219403,25.9,NA,"PP","DF","BO","JP"
"402","100","260",9,"321",25.2,"202",NA,80,4,729,"",25,"818",8.1,4.8,4,2088,"",21.7,"818",4,1.3,4,2767,"","65","122",31.14964236,30.9,NA,"DF","BO","BO","PP"
"403","100","260",6,"322",22.4,"202",NA,70,5,730,"",59,"202",30.1,20,5,2089,"",24.5,"818",6.7,5.5,5,2768,"","65.3","202",32.13836857,27.7,NA,"DF","DF","BO","DF"
"404","100","260",7,"323",26.6,"117",NA,40,6,731,"",53,"202",27.9,16.4,6,2090,"",19.9,"202",11.6,6.9,6,2769,"","69.2","202",29.20108305,23.4,NA,"SP","DF","DF","DF"
"405","100","260",10,"324",26.3,"202",NA,80,7,732,"",65.5,"202",31.3,25,7,2091,"",59.8,"202",32.1,25.3,7,2770,"","74","202",32.73618288,23.5,NA,"DF","DF","DF","DF"
"406","100","260",11,"325",2.5,"818",18,30,8,733,"",68,"202",37.2,31.3,8,2092,"y",40.9,"081",21.3,NA,8,2771,"Y","16.3","818",7.409843583,NA,NA,"BO","DF","IC","BO"
"407","100","260",12,"326",2.7,"818",NA,90,9,734,"",74,"202",28,19.9,9,2093,"y",18,"081",8.9,NA,9,2772,"","39.5","202",20.56650814,10.7,NA,"BO","DF","IC","DF"
"408","100","260",13,"327",6.1,"818",NA,60,10,735,"",84,"202",29.7,24.7,10,2094,"",52,"202",26.7,15,NA,NA,"","","",NA,NA,NA,"BO","DF","DF",""
"409","100","260",14,"328",1,"117",7,90,11,736,"",72,"117",32.6,21.6,11,2095,"",27.3,"202",17.3,16.5,NA,NA,"","","",NA,NA,NA,"SP","SP","DF",""
"410","100","260",15,"329",0.5,"15",NA,NA,12,737,"",12,"122",4.5,3.8,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","PP","",""
"411","100","260",16,"330",0.5,"117",NA,NA,13,738,"",17.5,"818",7.1,5.7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"SP","BO","",""
"412","100","260",17,"331",0.5,"818",NA,NA,14,739,"",19.5,"15",10.9,5.1,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"BO","WF","",""
"413","100","260",1,"332",28.4,"202",119,40,15,740,"",10,"117",6,0,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","SP","",""
"414","100","260",2,"333",31.9,"202",NA,40,16,741,"",13,"117",6.3,3.9,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","SP","",""
"415","100","260",3,"334",26.9,"117",92,70,17,742,"y",19,"202",9.3,0,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"SP","DF","",""
"416","100","260",NA,"",NA,"",NA,NA,18,743,"",12.5,"202",8.2,4.7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"417","100","260",NA,"",NA,"",NA,NA,19,744,"",27.5,"202",19.1,13.8,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"418","100","260",NA,"",NA,"",NA,NA,20,745,"",24.5,"818",8.1,3.9,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","BO","",""
"419","100","260",NA,"",NA,"",NA,NA,21,746,"",28,"81",12.7,9.4,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","IC","",""
"420","12B","301'/301",1,"135",17.6,"202",115,30,1,747,"",91.5,"117",44.1,27.5,1,2096,"",26.6,"015",19.9,11.2,NA,NA,"","","",NA,NA,NA,"DF","SP","WF",""
"421","12B","301'/301",2,"136",27.3,"202",NA,30,2,748,"",19,"202",15.5,5,2,2097,"",16.3,"202",17.1,7.6,NA,NA,"","","",NA,NA,NA,"DF","DF","DF",""
"422","12B","301'/301",3,"137",24.7,"202",NA,40,3,749,"",110.5,"15",48.1,25.5,3,2098,"",43.1,"202",27.2,19.2,NA,NA,"","","",NA,NA,NA,"DF","WF","DF",""
"423","12B","301'/301",4,"138",23.6,"202",NA,30,4,750,"",42.5,"15",30.3,19.9,4,2099,"",36,"202",26.6,15.8,NA,NA,"","","",NA,NA,NA,"DF","WF","DF",""
"424","12B","301'/301",5,"139",11.8,"818",40,20,5,751,"",27,"15",19.6,10.7,5,2100,"",31.7,"202",25.9,12.5,NA,NA,"","","",NA,NA,NA,"BO","WF","DF",""
"425","12B","301'/301",6,"140",28.8,"202",NA,40,6,752,"",37,"15",28.7,23.9,6,2101,"",31,"015",25.4,11.1,NA,NA,"","","",NA,NA,NA,"DF","WF","WF",""
"426","12B","301'/301",7,"141",15.1,"202",NA,30,7,753,"",42.5,"15",28.9,16.7,7,2102,"",34.1,"202",26.2,14.4,NA,NA,"","","",NA,NA,NA,"DF","WF","DF",""
"427","12B","301'/301",8,"142",25,"202",NA,30,8,754,"",60,"15",34.2,22,8,2103,"",89.4,"117",45.5,27,NA,NA,"","","",NA,NA,NA,"DF","WF","SP",""
"428","12B","301'/301",9,"143",13,"15",64,20,9,755,"",36,"15",27.6,17.4,9,2104,"",19.8,"015",15.4,3.9,NA,NA,"","","",NA,NA,NA,"WF","WF","WF",""
"429","12B","301'/301",10,"144",2.2,"15",14,30,10,756,"",31,"15",27.2,10.7,10,2105,"y",24.6,"snag",15.6,NA,NA,NA,"","","",NA,NA,NA,"WF","WF","snag",""
"430","12B","301'/301",11,"145",6.7,"81",34,40,11,757,"",30,"202",25.4,20.2,11,2106,"",41.6,"202",28.7,13,NA,NA,"","","",NA,NA,NA,"IC","DF","DF",""
"431","12B","301'/301",12,"146",2.4,"15",NA,30,12,758,"y",36,"818",9.9,0,12,2107,"",27.6,"015",16.3,6.9,NA,NA,"","","",NA,NA,NA,"WF","BO","WF",""
"432","12B","301'/301",13,"147",1.6,"15",NA,30,13,759,"",16,"15",11.4,4.5,13,2108,"",37,"202",28.5,15.3,NA,NA,"","","",NA,NA,NA,"WF","WF","DF",""
"433","12B","301'/301",14,"148",2.9,"81",NA,20,14,760,"",33.5,"15",26.9,15.4,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"IC","WF","",""
"434","12B","301'/301",15,"149",0.5,"15",NA,NA,15,761,"y",14.5,"202",11,0,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","DF","",""
"435","12B","301'/301",NA,"",NA,"",NA,NA,16,762,"",10,"15",9.3,7.8,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","WF","",""
"436","12B","301'/301",NA,"",NA,"",NA,NA,17,763,"y",24.5,"202",19.6,0,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"437","12B","301'/301",NA,"",NA,"",NA,NA,18,764,"",11,"202",12.2,5.2,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"438","12B","301'/301",NA,"",NA,"",NA,NA,19,765,"",11,"202",13.2,5.9,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"439","12B","301'/301",NA,"",NA,"",NA,NA,20,766,"",12.5,"202",13.8,7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"440","Expansion","312",4,"150",32.6,"117",NA,30,1,767,"",49,"117",27,17.3,1,2109,"",30,"015",12.9,6.6,NA,NA,"","","",NA,NA,NA,"SP","SP","WF",""
"441","Expansion","312",5,"151",25.6,"202",111,30,2,768,"",30,"202",13.5,11,2,2110,"",15.9,"015",10.7,4.5,NA,NA,"","","",NA,NA,NA,"DF","DF","WF",""
"442","Expansion","312",6,"152",25.4,"202",NA,50,3,769,"",43.5,"202",14,11.7,3,2111,"",30.3,"015",13.2,9.6,NA,NA,"","","",NA,NA,NA,"DF","DF","WF",""
"443","Expansion","312",7,"153",23.9,"202",NA,30,4,770,"",29,"202",12.8,10.9,4,2112,"",20.9,"202",22.9,13.2,NA,NA,"","","",NA,NA,NA,"DF","DF","DF",""
"444","Expansion","312",8,"154",28.9,"202",NA,50,5,771,"",69.5,"117",34.6,22.9,5,2113,"y",17.3,"snag",10.5,NA,NA,NA,"","","",NA,NA,NA,"DF","SP","snag",""
"445","Expansion","312",9,"155",3.4,"15",NA,30,6,772,"",87.5,"117",29.6,17.4,6,2114,"",45,"015",21.4,15.2,NA,NA,"","","",NA,NA,NA,"WF","SP","WF",""
"446","Expansion","312",10,"156",9.3,"15",NA,40,7,773,"",67,"202",33.6,19.1,7,2115,"",20,"202",13.8,9.6,NA,NA,"","","",NA,NA,NA,"WF","DF","DF",""
"447","Expansion","312",11,"157",2.2,"818",NA,40,8,774,"",66,"202",36.8,22.1,8,2116,"",16.5,"015",14.9,7.2,NA,NA,"","","",NA,NA,NA,"BO","DF","WF",""
"448","Expansion","312",12,"158",8.1,"202",NA,40,9,775,"",63,"202",30.8,18.2,9,2117,"",23.2,"202",20.9,9.5,NA,NA,"","","",NA,NA,NA,"DF","DF","DF",""
"449","Expansion","312",13,"159",1.5,"202",NA,40,10,776,"",22,"202",18,12,10,2118,"",11.8,"818",6.3,4.4,NA,NA,"","","",NA,NA,NA,"DF","DF","BO",""
"450","Expansion","312",14,"160",4.3,"818",NA,50,11,777,"",19,"202",12.2,10.1,11,2119,"",19.3,"202",14,10.5,NA,NA,"","","",NA,NA,NA,"BO","DF","DF",""
"451","Expansion","312",15,"161",6.6,"202",NA,50,12,778,"",77,"202",33,20.9,12,2120,"",24.8,"202",17.8,11.9,NA,NA,"","","",NA,NA,NA,"DF","DF","DF",""
"452","Expansion","312",16,"162",1.3,"202",NA,30,13,779,"",19,"202",14.8,9.5,13,2121,"",14.7,"818",14.1,8.1,NA,NA,"","","",NA,NA,NA,"DF","DF","BO",""
"453","Expansion","312",17,"163",1.3,"202",NA,20,14,780,"",16,"202",11.2,10.7,14,2122,"",19,"202",15.8,8.8,NA,NA,"","","",NA,NA,NA,"DF","DF","DF",""
"454","Expansion","312",18,"164",5.1,"818",NA,30,15,781,"",21.5,"202",16,8.9,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"BO","DF","",""
"455","Expansion","312",19,"165",2.3,"202",NA,10,16,782,"",13.5,"818",4.1,3.8,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","BO","",""
"456","Expansion","312",20,"166",6.6,"202",NA,30,17,783,"",14.5,"818",9.8,8.5,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","BO","",""
"457","Expansion","312",21,"167",0.5,"818",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"BO","","",""
"458","Expansion","312",22,"168",0.5,"202",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","","",""
"459","Expansion","312",1,"169",18.8,"117",99,30,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"SP","","",""
"460","Expansion","312",23,"170",0.5,"15",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"461","Expansion","312",24,"171",0.5,"81",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"IC","","",""
"462","Expansion","312",25,"172",0.5,"122",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"PP","","",""
"463","Expansion","312",2,"173",17.1,"15",65,30,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"WF","","",""
"464","Expansion","312",3,"174",25.8,"117",NA,30,NA,NA,"",NA,"",NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"SP","","",""
"465","27","318",1,"175",23.3,"202",111,50,1,784,"",62.5,"202",41,29.8,1,2123,"",46,"081",21.7,11.7,NA,NA,"","","",NA,NA,NA,"DF","DF","IC",""
"466","27","318",4,"176",24.2,"202",129,30,2,785,"",37,"81",22.5,14.2,2,2124,"",14,"202",10,9.4,NA,NA,"","","",NA,NA,NA,"DF","IC","DF",""
"467","27","318",5,"177",0.5,"202",NA,NA,3,786,"",89,"202",37.3,20.2,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","DF","",""
"468","27","318",6,"178",0.5,"117",NA,NA,4,787,"",69,"202",38.3,0.6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"SP","DF","",""
"469","27","318",7,"179",0.5,"122",NA,NA,5,788,"",66,"202",40.7,29.6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"PP","DF","",""
"470","27","318",2,"180",13.4,"81",64,30,6,789,"",10,"202",7.2,5.6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"IC","DF","",""
"471","27","318",3,"181",25.6,"202",NA,30,7,790,"",16,"81",8.8,3,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","IC","",""
"472","27","318",NA,"",NA,"",NA,NA,8,791,"",10.5,"202",7.3,6.3,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"473","27","318",NA,"",NA,"",NA,NA,9,792,"",11,"202",9.8,7.1,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"474","27","318",NA,"",NA,"",NA,NA,10,793,"",11.5,"202",9.4,7.6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"475","27","318",NA,"",NA,"",NA,NA,11,794,"",13.5,"202",9.5,5.7,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"","DF","",""
"476","27","319",1,"182",24.3,"122",24.3,30,1,795,"",65,"116",26.2,17.1,1,2125,"",62.6,"122",31.7,21.8,NA,NA,"","","",NA,NA,NA,"PP","JP","PP",""
"477","27","319",2,"183",8.3,"122",40.5,20,2,796,"",14.5,"116",7.6,3.4,2,2126,"",35.6,"117",17.7,13.1,NA,NA,"","","",NA,NA,NA,"PP","JP","SP",""
"478","27","319",3,"184",9.9,"117",40,20,3,797,"",28,"117",13.3,6.1,3,2127,"y",13,"818",4.9,NA,NA,NA,"","","",NA,NA,NA,"SP","SP","BO",""
"479","27","319",4,"185",4.8,"117",NA,40,4,798,"",23,"116",14,8.7,4,2128,"",24.7,"818",10.8,9.1,NA,NA,"","","",NA,NA,NA,"SP","JP","BO",""
"480","27","319",5,"186",5.4,"122",NA,10,5,799,"",15,"116",10.8,3.2,5,2129,"",27.2,"117",13.6,12.3,NA,NA,"","","",NA,NA,NA,"PP","JP","SP",""
"481","27","319",6,"187",5.5,"122",NA,30,6,800,"",16,"116",10.1,4.2,6,2130,"",34.8,"117",17.6,17.6,NA,NA,"","","",NA,NA,NA,"PP","JP","SP",""
"482","27","319",7,"188",2,"122",NA,20,7,801,"",16,"116",9.8,4.3,7,2131,"",27.7,"117",14.3,8.9,NA,NA,"","","",NA,NA,NA,"PP","JP","SP",""
"483","27","319",8,"189",5.7,"122",NA,30,8,802,"",13.5,"116",6.8,2.6,8,2132,"",26.8,"122",17.1,9,NA,NA,"","","",NA,NA,NA,"PP","JP","PP",""
"484","27","319",9,"190",1.3,"202",NA,70,9,803,"",30,"116",15.1,9.7,9,2133,"",28.5,"117",13.7,7.8,NA,NA,"","","",NA,NA,NA,"DF","JP","SP",""
"485","27","319",10,"191",1.6,"202",NA,70,10,804,"",35,"117",17.9,7.1,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","SP","",""
"486","27","319",11,"192",4.9,"202",NA,30,11,805,"",25.5,"117",14,11.6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","SP","",""
"487","27","319",12,"193",1.8,"202",NA,80,12,806,"",23.5,"818",7.8,0,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","BO","",""
"488","27","319",13,"194",0.5,"117",NA,NA,13,807,"",32.5,"818",5,0,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"SP","BO","",""
"489","27","319",14,"195",0.5,"202",NA,NA,14,808,"",18.75,"202",13.6,6.3,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"DF","DF","",""
"490","27","319",15,"196",0.5,"81",NA,NA,15,809,"",37.5,"117",14.9,6,NA,NA,"",NA,"",NA,NA,NA,NA,"","","",NA,NA,NA,"IC","SP","",""
